pos0 965.495,201.546,898.770,13.437,164.147,-91.483
pos1 964.614,205.448,898.770,13.437,164.147,-91.483
pos2 963.734,209.349,898.770,13.437,164.147,-91.483
pos3 962.853,213.251,898.770,13.437,164.147,-91.483
pos4 961.972,217.153,898.770,13.437,164.147,-91.483
pos5 961.091,221.055,898.770,13.437,164.147,-91.483
pos6 960.210,224.957,898.770,13.437,164.147,-91.483
pos7 959.330,228.858,898.770,13.437,164.147,-91.483
pos8 958.449,232.760,898.770,13.437,164.147,-91.483
pos9 958.449,232.760,902.770,13.437,164.147,-91.483
pos10 959.330,228.858,902.770,13.437,164.147,-91.483
pos11 985.302,209.485,804.789,13.527,164.192,-91.240
pos12 961.091,221.055,902.770,13.437,164.147,-91.483
pos13 961.972,217.153,902.770,13.437,164.147,-91.483
pos14 962.853,213.251,902.770,13.437,164.147,-91.483
pos15 963.734,209.349,902.770,13.437,164.147,-91.483
pos16 964.614,205.448,902.770,13.437,164.147,-91.483
pos17 965.495,201.546,902.770,13.437,164.147,-91.483
pos18 965.495,201.546,906.770,13.437,164.147,-91.483
pos19 964.614,205.448,906.770,13.437,164.147,-91.483
pos20 963.734,209.349,906.770,13.437,164.147,-91.483
pos21 984.424,213.387,804.789,13.527,164.192,-91.240
pos22 961.972,217.153,906.770,13.437,164.147,-91.483
pos23 961.091,221.055,906.770,13.437,164.147,-91.483
pos24 960.210,224.957,906.770,13.437,164.147,-91.483
pos25 959.330,228.858,906.770,13.437,164.147,-91.483
pos26 958.449,232.760,906.770,13.437,164.147,-91.483
pos27 958.449,232.760,910.770,13.437,164.147,-91.483
pos28 959.330,228.858,910.770,13.437,164.147,-91.483
pos29 960.210,224.957,910.770,13.437,164.147,-91.483
pos30 961.091,221.055,910.770,13.437,164.147,-91.483
pos31 983.545,217.290,804.789,13.527,164.192,-91.240
pos32 962.853,213.251,910.770,13.437,164.147,-91.483
pos33 963.734,209.349,910.770,13.437,164.147,-91.483
pos34 964.614,205.448,910.770,13.437,164.147,-91.483
pos35 965.495,201.546,910.770,13.437,164.147,-91.483
pos36 965.495,201.546,914.770,13.437,164.147,-91.483
pos37 964.614,205.448,914.770,13.437,164.147,-91.483
pos38 963.734,209.349,914.770,13.437,164.147,-91.483
pos39 962.853,213.251,914.770,13.437,164.147,-91.483
pos40 961.972,217.153,914.770,13.437,164.147,-91.483
pos41 982.667,221.192,804.789,13.527,164.192,-91.240
pos42 960.210,224.957,914.770,13.437,164.147,-91.483
pos43 959.330,228.858,914.770,13.437,164.147,-91.483
pos44 958.449,232.760,914.770,13.437,164.147,-91.483
pos45 958.449,232.760,918.770,13.437,164.147,-91.483
pos46 959.330,228.858,918.770,13.437,164.147,-91.483
pos47 960.210,224.957,918.770,13.437,164.147,-91.483
pos48 961.091,221.055,918.770,13.437,164.147,-91.483
pos49 961.972,217.153,918.770,13.437,164.147,-91.483
pos50 962.853,213.251,918.770,13.437,164.147,-91.483
pos51 981.789,225.094,804.789,13.527,164.192,-91.240
pos52 964.614,205.448,918.770,13.437,164.147,-91.483
pos53 965.495,201.546,918.770,13.437,164.147,-91.483
pos54 965.495,201.546,922.770,13.437,164.147,-91.483
pos55 964.614,205.448,922.770,13.437,164.147,-91.483
pos56 963.734,209.349,922.770,13.437,164.147,-91.483
pos57 962.853,213.251,922.770,13.437,164.147,-91.483
pos58 961.972,217.153,922.770,13.437,164.147,-91.483
pos59 961.091,221.055,922.770,13.437,164.147,-91.483
pos60 960.210,224.957,922.770,13.437,164.147,-91.483
pos61 980.910,228.997,804.789,13.527,164.192,-91.240
pos62 958.449,232.760,922.770,13.437,164.147,-91.483
pos63 958.449,232.760,926.770,13.437,164.147,-91.483
pos64 959.330,228.858,926.770,13.437,164.147,-91.483
pos65 960.210,224.957,926.770,13.437,164.147,-91.483
pos66 961.091,221.055,926.770,13.437,164.147,-91.483
