P0001,-814,1851,36,145,129,90
P0002,-826,1835,36,140,132,90
P0003,-839,1821,36,136,135,90
P0004,-853,1807,36,132,137,90
P0005,-869,1794,36,127,139,90
P0006,-885,1783,36,123,141,90
P0007,-903,1773,36,118,143,90
P0008,-921,1764,36,114,144,90
P0009,-939,1756,36,109,145,90
P0010,-958,1751,36,105,146,90
P0011,-978,1746,36,100,147,90
P0012,-998,1743,36,96,147,90
P0013,-1017,1742,36,92,147,90
P0014,-1037,1742,36,87,146,90
P0015,-1057,1744,36,83,146,90
P0016,-1077,1747,36,78,145,90
P0017,-1097,1752,36,74,144,90
P0018,-1115,1759,36,69,142,90
P0019,-1134,1766,36,65,140,90
P0020,-1152,1776,36,60,138,90
P0021,-1169,1786,36,56,136,90
P0022,-1185,1798,36,52,133,90
P0023,-1200,1811,36,47,130,90
P0024,-1208,1818,36,45,129,90
P0025,-1221,1833,36,40,131,90
P0026,-1234,1849,36,36,133,90
P0027,-1245,1866,36,31,135,90
P0028,-1254,1883,36,27,137,90
P0029,-1263,1901,36,23,138,90
P0030,-1270,1920,36,18,139,90
P0031,-1275,1939,36,14,140,90
P0032,-1279,1959,36,9,141,90
P0033,-1282,1979,36,5,141,90
P0034,-1282,1999,36,0,141,90
P0035,-1282,2019,36,-4,140,90
P0036,-1280,2038,36,-9,139,90
P0037,-1276,2058,36,-13,138,90
P0038,-1271,2077,36,-17,137,90
P0039,-1264,2096,36,-22,135,90
P0040,-1256,2114,36,-26,133,90
P0041,-1246,2132,36,-31,131,90
P0042,-1235,2149,36,-35,129,90
P0043,-1223,2165,36,-40,132,90
P0044,-1210,2179,36,-44,135,90
P0045,-1195,2193,36,-48,137,90
P0046,-1180,2206,36,-53,139,90
P0047,-1164,2217,36,-57,141,90
P0048,-1146,2227,36,-62,143,90
P0049,-1128,2236,36,-66,144,90
P0050,-1110,2244,36,-71,145,90
P0002,-1091,2249,36,-75,146,90
P0002,-1071,2254,36,-80,147,90
P0003,-1051,2257,36,-84,147,90
P0004,-1031,2258,36,-88,147,90
P0005,-1011,2258,36,-93,146,90
P0006,-991,2256,36,-97,146,90
P0007,-972,2253,36,-102,145,90
P0008,-952,2248,36,-106,144,90
P0009,-933,2241,36,-111,142,90
P0010,-915,2234,36,-115,140,90
P0011,-897,2224,36,-120,138,90
P0012,-880,2214,36,-124,136,90
P0013,-864,2202,36,-128,133,90
P0014,-849,2189,36,-133,130,90
P0015,-841,2182,36,-135,129,90
P0016,-828,2167,36,-140,131,90
P0017,-815,2151,36,-144,133,90
P0018,-804,2134,36,-149,135,90
P0019,-794,2117,36,-153,137,90
P0020,-786,2099,36,-157,138,90
P0021,-779,2080,36,-162,139,90
P0022,-774,2061,36,-166,140,90
P0023,-770,2041,36,-171,141,90
P0024,-767,2021,36,-175,141,90
P0025,-766,2001,36,-180,141,90
P0026,-767,1981,36,176,140,90
P0027,-769,1962,36,171,139,90
P0028,-773,1942,36,167,138,90
P0029,-778,1923,36,163,137,90
P0030,-785,1904,36,158,135,90
P0031,-793,1886,36,154,133,90
P0032,-803,1868,36,149,131,90
P0033,-814,1851,36,145,129,90
