P0001,182,1200,657,-132,135,90
P0002,196,1186,657,-137,135,90
P0003,209,1171,657,-142,135,90
P0004,221,1155,657,-147,135,90
P0005,231,1137,657,-152,135,90
P0006,239,1119,657,-157,135,90
P0007,246,1101,657,-162,135,90
P0008,252,1081,657,-167,135,90
P0009,256,1062,657,-172,135,90
P0010,258,1042,657,-177,135,90
P0011,258,1022,657,178,135,90
P0012,256,1002,657,173,135,90
P0013,253,982,657,168,135,90
P0014,248,963,657,163,135,90
P0015,242,944,657,158,135,90
P0016,234,926,657,153,135,90
P0017,224,908,657,148,135,90
P0018,213,892,657,143,135,90
P0019,200,876,657,138,135,90
P0020,186,862,657,133,135,90
P0021,171,849,657,128,135,90
P0022,155,837,657,123,135,90
P0023,138,827,657,118,135,90
P0024,120,818,657,114,135,90
P0025,101,811,657,109,135,90
P0026,82,805,657,104,135,90
P0027,62,801,657,99,135,90
P0028,42,799,657,94,135,90
P0029,22,799,657,89,135,90
P0030,2,800,657,84,135,90
P0031,-17,803,657,79,135,90
P0032,-37,808,657,74,135,90
P0033,-56,815,657,69,135,90
P0034,-74,823,657,64,135,90
P0035,-91,832,657,59,135,90
P0036,-108,843,657,54,135,90
P0037,-124,856,657,49,135,90
P0038,-126,858,657,48,135,90
P0039,-126,858,657,48,135,90
P0040,-140,872,657,43,135,90
P0041,-153,887,657,38,135,90
P0042,-165,903,657,33,135,90
P0043,-175,920,657,28,135,90
P0044,-183,938,657,23,135,90
P0045,-190,957,657,18,135,90
P0046,-196,976,657,13,135,90
P0047,-200,996,657,8,135,90
P0048,-202,1016,657,3,135,90
P0049,-202,1036,657,-2,135,90
P0050,-200,1056,657,-7,135,90
P0002,-197,1075,657,-12,135,90
P0002,-192,1095,657,-17,135,90
P0003,-186,1114,657,-22,135,90
P0004,-178,1132,657,-27,135,90
P0005,-168,1149,657,-32,135,90
P0006,-157,1166,657,-37,135,90
P0007,-144,1181,657,-42,135,90
P0008,-130,1196,657,-47,135,90
P0009,-115,1209,657,-52,135,90
P0010,-99,1221,657,-57,135,90
P0011,-82,1231,657,-62,135,90
P0012,-64,1240,657,-66,135,90
P0013,-45,1247,657,-71,135,90
P0014,-26,1252,657,-76,135,90
P0015,-6,1256,657,-81,135,90
P0016,14,1258,657,-86,135,90
P0017,34,1259,657,-91,135,90
P0018,54,1257,657,-96,135,90
P0019,73,1254,657,-101,135,90
P0020,93,1250,657,-106,135,90
P0021,112,1243,657,-111,135,90
P0022,130,1235,657,-116,135,90
P0023,147,1225,657,-121,135,90
P0024,164,1214,657,-126,135,90
P0025,180,1202,657,-131,135,90
P0026,182,1200,657,-132,135,90
