P0001,321,1058,521,1,135,-90
P0002,321,1038,521,-5,135,-90
P0003,318,1019,521,-11,135,-90
P0004,313,999,521,-17,135,-90
P0005,306,980,521,-22,135,-90
P0006,298,962,521,-28,135,-90
P0007,288,945,521,-34,135,-90
P0008,276,929,521,-40,135,-90
P0009,262,914,521,-45,135,-90
P0010,247,901,521,-51,135,-90
P0011,231,889,521,-57,135,-90
P0012,214,879,521,-62,135,-90
P0013,196,871,521,-68,135,-90
P0014,177,864,521,-74,135,-90
P0015,157,860,521,-80,135,-90
P0016,138,857,521,-85,135,-90
P0017,118,856,521,-91,135,-90
P0018,98,858,521,-97,135,-90
P0019,78,861,521,-103,135,-90
P0020,59,866,521,-108,135,-90
P0021,40,874,521,-114,135,-90
P0022,22,883,521,-120,135,-90
P0023,5,893,521,-125,135,-90
P0024,-10,906,521,-131,135,-90
P0025,-25,920,521,-137,135,-90
P0026,-38,935,521,-143,135,-90
P0027,-49,951,521,-148,135,-90
P0028,-59,969,521,-154,135,-90
P0029,-66,987,521,-160,135,-90
P0030,-72,1006,521,-166,135,-90
P0031,-76,1026,521,-171,135,-90
P0032,-78,1046,521,-177,135,-90
P0033,-79,1054,521,-179,135,-90
P0034,-79,1054,521,-179,135,-90
P0035,-78,1074,521,175,135,-90
P0036,-75,1094,521,169,135,-90
P0037,-70,1113,521,163,135,-90
P0038,-64,1132,521,158,135,-90
P0039,-55,1150,521,152,135,-90
P0040,-45,1168,521,146,135,-90
P0041,-33,1184,521,140,135,-90
P0042,-19,1198,521,135,135,-90
P0043,-5,1212,521,129,135,-90
P0044,12,1223,521,123,135,-90
P0045,29,1234,521,118,135,-90
P0046,47,1242,521,112,135,-90
P0047,66,1248,521,106,135,-90
P0048,85,1253,521,100,135,-90
P0049,105,1256,521,95,135,-90
P0050,125,1256,521,89,135,-90
P0002,145,1255,521,83,135,-90
P0002,165,1252,521,77,135,-90
P0003,184,1246,521,72,135,-90
P0004,203,1239,521,66,135,-90
P0005,221,1230,521,60,135,-90
P0006,237,1219,521,55,135,-90
P0007,253,1207,521,49,135,-90
P0008,268,1193,521,43,135,-90
P0009,280,1178,521,37,135,-90
P0010,292,1161,521,32,135,-90
P0011,301,1144,521,26,135,-90
P0012,309,1125,521,20,135,-90
P0013,315,1106,521,14,135,-90
P0014,319,1087,521,9,135,-90
P0015,321,1067,521,3,135,-90
P0016,321,1058,521,1,135,-90
P0001,268,1203,531,45,135,-90
P0002,281,1188,531,39,135,-90
P0003,293,1172,531,34,135,-90
P0004,304,1155,531,28,135,-90
P0005,312,1137,531,23,135,-90
P0006,319,1118,531,17,135,-90
P0007,324,1099,531,12,135,-90
P0008,327,1079,531,6,135,-90
P0009,328,1059,531,1,135,-90
P0010,328,1039,531,-5,135,-90
P0011,325,1019,531,-10,135,-90
P0012,321,1000,531,-16,135,-90
P0013,314,981,531,-21,135,-90
P0014,306,962,531,-27,135,-90
P0015,296,945,531,-33,135,-90
P0016,284,929,531,-38,135,-90
P0017,271,914,531,-44,135,-90
P0018,257,900,531,-49,135,-90
P0019,241,887,531,-55,135,-90
P0020,224,877,531,-60,135,-90
P0021,207,868,531,-66,135,-90
P0022,188,860,531,-71,135,-90
P0023,169,855,531,-77,135,-90
P0024,149,851,531,-82,135,-90
P0025,129,849,531,-88,135,-90
P0026,109,850,531,-93,135,-90
P0027,89,852,531,-99,135,-90
P0028,70,856,531,-104,135,-90
P0029,51,862,531,-110,135,-90
P0030,32,870,531,-116,135,-90
P0031,15,879,531,-121,135,-90
P0032,-2,890,531,-127,135,-90
P0033,-17,903,531,-132,135,-90
P0034,-25,910,531,-135,135,-90
P0035,-25,910,531,-135,135,-90
P0036,-38,925,531,-141,135,-90
P0037,-50,941,531,-146,135,-90
P0038,-61,958,531,-152,135,-90
P0039,-69,976,531,-157,135,-90
P0040,-76,995,531,-163,135,-90
P0041,-81,1014,531,-168,135,-90
P0042,-84,1034,531,-174,135,-90
P0043,-86,1054,531,-179,135,-90
P0044,-85,1074,531,175,135,-90
P0045,-82,1094,531,170,135,-90
P0046,-78,1113,531,164,135,-90
P0047,-71,1132,531,159,135,-90
P0048,-63,1150,531,153,135,-90
P0049,-53,1168,531,147,135,-90
P0050,-42,1184,531,142,135,-90
P0002,-29,1199,531,136,135,-90
P0002,-14,1213,531,131,135,-90
P0003,2,1225,531,125,135,-90
P0004,18,1236,531,120,135,-90
P0005,36,1245,531,114,135,-90
P0006,55,1252,531,109,135,-90
P0007,74,1258,531,103,135,-90
P0008,94,1261,531,98,135,-90
P0009,114,1263,531,92,135,-90
P0010,134,1263,531,87,135,-90
P0011,154,1261,531,81,135,-90
P0012,173,1257,531,76,135,-90
P0013,192,1251,531,70,135,-90
P0014,211,1243,531,64,135,-90
P0015,228,1234,531,59,135,-90
P0016,245,1222,531,53,135,-90
P0017,260,1210,531,48,135,-90
P0018,268,1203,531,45,135,-90
