P0001,106,1380,177,-96,130,90
P0002,126,1377,177,-102,130,90
P0003,145,1372,177,-107,130,90
P0004,164,1365,177,-113,130,90
P0005,182,1357,177,-118,130,90
P0006,199,1347,177,-123,130,90
P0007,215,1335,177,-129,130,90
P0008,230,1322,177,-134,130,90
P0009,244,1307,177,-140,130,90
P0010,256,1291,177,-145,130,90
P0011,267,1274,177,-150,130,90
P0012,276,1257,177,-156,130,90
P0013,283,1238,177,-161,130,90
P0014,289,1219,177,-166,130,90
P0015,293,1199,177,-172,130,90
P0016,294,1179,177,-177,130,90
P0017,294,1159,177,177,130,90
P0018,293,1139,177,172,130,90
P0019,289,1120,177,167,130,90
P0020,283,1101,177,161,130,90
P0021,276,1082,177,156,130,90
P0022,267,1064,177,150,130,90
P0023,256,1047,177,145,130,90
P0024,244,1031,177,140,130,90
P0025,230,1017,177,134,130,90
P0026,215,1004,177,129,130,90
P0027,199,992,177,123,130,90
P0028,182,982,177,118,130,90
P0029,164,973,177,113,130,90
P0030,145,966,177,107,130,90
P0031,126,961,177,102,130,90
P0032,106,958,177,96,130,90
P0033,86,957,177,91,130,90
P0034,66,957,177,86,130,90
P0035,59,958,177,84,130,90
P0036,59,958,177,84,130,90
P0037,39,961,177,78,130,90
P0038,19,966,177,73,130,90
P0039,1,973,177,67,130,90
P0040,-17,981,177,62,130,90
P0041,-35,992,177,57,130,90
P0042,-51,1003,177,51,130,90
P0043,-66,1017,177,46,130,90
P0044,-79,1031,177,40,130,90
P0045,-92,1047,177,35,130,90
P0046,-102,1064,177,30,130,90
P0047,-111,1082,177,24,130,90
P0048,-119,1100,177,19,130,90
P0049,-124,1120,177,14,130,90
P0050,-128,1139,177,8,130,90
P0002,-130,1159,177,3,130,90
P0002,-130,1179,177,-3,130,90
P0003,-128,1199,177,-8,130,90
P0004,-124,1219,177,-13,130,90
P0005,-119,1238,177,-19,130,90
P0006,-112,1256,177,-24,130,90
P0007,-103,1274,177,-30,130,90
P0008,-92,1291,177,-35,130,90
P0009,-80,1307,177,-40,130,90
P0010,-66,1322,177,-46,130,90
P0011,-51,1335,177,-51,130,90
P0012,-35,1347,177,-57,130,90
P0013,-18,1357,177,-62,130,90
P0014,0,1365,177,-67,130,90
P0015,19,1372,177,-73,130,90
P0016,39,1377,177,-78,130,90
P0017,58,1380,177,-84,130,90
P0018,78,1382,177,-89,130,90
P0019,98,1381,177,-94,130,90
P0020,106,1380,177,-96,130,90
P0001,124,902,687,-81,141,-90
P0002,104,900,687,-85,141,-90
P0003,84,899,687,-90,141,-90
P0004,64,900,687,-94,141,-90
P0005,44,902,687,-98,141,-90
P0006,25,905,687,-102,141,-90
P0007,5,910,687,-107,141,-90
P0008,-14,917,687,-111,141,-90
P0009,-32,925,687,-115,141,-90
P0010,-50,934,687,-119,141,-90
P0011,-67,944,687,-124,141,-90
P0012,-83,956,687,-128,141,-90
P0013,-98,969,687,-132,141,-90
P0014,-113,982,687,-136,141,-90
P0015,-126,997,687,-140,141,-90
P0016,-138,1013,687,-145,141,-90
P0017,-149,1030,687,-149,141,-90
P0018,-159,1048,687,-153,141,-90
P0019,-167,1066,687,-157,141,-90
P0020,-174,1084,687,-162,141,-90
P0021,-180,1104,687,-166,141,-90
P0022,-184,1123,687,-170,141,-90
P0023,-187,1143,687,-174,141,-90
P0024,-188,1163,687,-179,141,-90
P0025,-187,1183,687,177,141,-90
P0026,-186,1203,687,173,141,-90
P0027,-182,1223,687,169,141,-90
P0028,-178,1242,687,164,141,-90
P0029,-172,1261,687,160,141,-90
P0030,-164,1280,687,156,141,-90
P0031,-155,1298,687,152,141,-90
P0032,-145,1315,687,147,141,-90
P0033,-134,1331,687,143,141,-90
P0034,-121,1347,687,139,141,-90
P0035,-107,1361,687,135,141,-90
P0036,-93,1375,687,130,141,-90
P0037,-77,1387,687,126,141,-90
P0038,-60,1398,687,122,141,-90
P0039,-43,1408,687,118,141,-90
P0040,-25,1417,687,113,141,-90
P0041,-6,1424,687,109,141,-90
P0042,13,1430,687,105,141,-90
P0043,32,1434,687,101,141,-90
P0044,40,1436,687,99,141,-90
P0045,40,1436,687,99,141,-90
P0046,60,1438,687,95,141,-90
P0047,80,1439,687,90,141,-90
P0048,100,1439,687,86,141,-90
P0049,120,1436,687,82,141,-90
P0050,140,1433,687,78,141,-90
P0002,159,1428,687,73,141,-90
