-727.373	-66.9657	209.001	117.947	146.888	113.708	-727.378	-65.6667	209.751	118.528	146.743	114.251
-728.369	-66.9701	209.002	117.933	146.898	113.71	-728.374	-65.6711	209.752	118.528	146.743	114.251
-729.366	-66.9745	209.003	117.927	146.904	113.716	-729.371	-65.6755	209.753	118.528	146.743	114.251
-730.363	-66.9789	209.004	117.93	146.905	113.726	-730.368	-65.6799	209.754	118.528	146.743	114.251
-731.36	-66.9833	209.005	117.934	146.903	113.731	-731.365	-65.6843	209.755	118.528	146.743	114.251
-732.356	-66.9877	209.006	117.94	146.899	113.733	-732.361	-65.6887	209.756	118.528	146.743	114.251
-733.353	-66.9921	209.007	117.94	146.899	113.733	-733.358	-65.6931	209.757	118.528	146.743	114.251
-734.35	-66.9965	209.008	117.945	146.897	113.73	-734.355	-65.6975	209.758	118.528	146.743	114.251
-735.347	-67.0009	209.01	117.943	146.896	113.727	-735.351	-65.7019	209.76	118.528	146.743	114.251
-736.343	-67.0053	209.011	117.943	146.896	113.728	-736.348	-65.7063	209.761	118.528	146.743	114.251
-737.34	-67.0097	209.012	117.937	146.895	113.719	-737.345	-65.7107	209.762	118.528	146.743	114.251
-738.337	-67.0141	209.013	117.937	146.896	113.717	-738.342	-65.7151	209.763	118.528	146.743	114.251
-739.333	-67.0185	209.014	117.937	146.896	113.717	-739.338	-65.7195	209.764	118.528	146.743	114.251
-740.33	-67.0229	209.015	117.936	146.896	113.714	-740.335	-65.7239	209.765	118.528	146.743	114.251
-741.327	-67.0274	209.016	117.936	146.896	113.714	-741.332	-65.7283	209.766	118.528	146.743	114.251
-742.324	-67.0318	209.018	117.938	146.895	113.718	-742.329	-65.7327	209.768	118.528	146.743	114.251
-743.32	-67.0362	209.019	117.944	146.894	113.723	-743.325	-65.7371	209.769	118.528	146.743	114.251
-744.317	-67.0406	209.02	117.944	146.894	113.723	-744.322	-65.7415	209.77	118.528	146.743	114.251
-745.314	-67.045	209.021	117.94	146.893	113.721	-745.319	-65.7459	209.771	118.528	146.743	114.251
-746.311	-67.0494	209.022	117.934	146.893	113.717	-746.315	-65.7503	209.772	118.528	146.743	114.251
-747.307	-67.0538	209.023	117.934	146.893	113.717	-747.312	-65.7548	209.773	118.528	146.743	114.251
-748.304	-67.0582	209.024	117.929	146.895	113.712	-748.309	-65.7592	209.774	118.528	146.743	114.251
-749.301	-67.0626	209.025	117.925	146.896	113.711	-749.306	-65.7636	209.775	118.528	146.743	114.251
-750.298	-67.067	209.027	117.925	146.896	113.711	-750.302	-65.768	209.777	118.528	146.743	114.251
-751.294	-67.0714	209.028	117.929	146.896	113.714	-751.299	-65.7724	209.778	118.528	146.743	114.251
-752.291	-67.0758	209.029	117.935	146.895	113.719	-752.296	-65.7768	209.779	118.528	146.743	114.251
