201.432,-94.447,266.169
199.342,-98.979,266.199
197.142,-103.459,266.171
194.252,-107.538,266.254
192.395,-112.180,266.191
189.994,-116.565,266.260
187.270,-120.754,266.114
184.536,-124.940,266.065
181.727,-129.076,266.024
178.848,-133.163,266.097
175.920,-137.214,265.980
172.750,-141.080,266.072
167.791,-141.684,266.274
164.419,-145.374,266.168
162.936,-150.149,266.120
165.075,-154.665,265.966
162.247,-158.788,265.967
160.077,-163.293,266.002
155.381,-161.582,266.124
150.518,-160.427,266.265
147.214,-164.180,266.324
145.757,-168.959,266.135
142.189,-172.460,266.060
138.189,-175.460,266.053
133.372,-176.801,266.067
130.248,-180.705,266.068
127.662,-184.983,265.980
123.327,-187.475,266.008
119.136,-190.201,266.060
114.790,-192.672,266.108
110.434,-195.125,266.145
106.479,-198.184,266.093
102.133,-200.655,266.084
97.693,-202.955,266.110
93.212,-205.171,266.107
88.384,-206.471,266.142
86.128,-210.932,266.048
82.476,-214.347,265.983
78.148,-211.848,266.128
73.407,-213.436,266.144
68.606,-214.834,266.174
63.991,-216.756,266.166
58.992,-216.856,266.233
54.807,-214.122,266.333
