199.958,15.690,521.468,179.739,129.117,-122.389
196.357,19.159,521.482,179.847,128.985,-122.322
192.756,22.628,521.496,179.954,128.853,-122.255
189.155,26.097,521.510,-179.939,128.720,-122.189
185.554,29.566,521.524,-179.832,128.588,-122.123
181.953,33.034,521.538,-179.725,128.455,-122.058
178.352,36.503,521.552,-179.619,128.323,-121.993
174.751,39.972,521.566,-179.514,128.190,-121.928
171.150,43.441,521.580,-179.409,128.057,-121.864
167.549,46.909,521.594,-179.304,127.925,-121.800
163.948,50.378,521.608,-179.199,127.792,-121.737
160.347,53.847,521.622,-179.095,127.658,-121.674
156.746,57.316,521.636,-178.991,127.525,-121.612
153.145,60.784,521.650,-178.888,127.392,-121.550
149.544,64.253,521.664,-178.785,127.259,-121.488
145.943,67.722,521.678,-178.682,127.125,-121.427
142.342,71.191,521.692,-178.580,126.992,-121.366
138.741,74.660,521.706,-178.478,126.858,-121.305
135.140,78.128,521.720,-178.377,126.725,-121.245
131.539,81.597,521.734,-178.275,126.591,-121.186
127.938,85.066,521.748,-178.174,126.457,-121.127
124.337,88.535,521.762,-178.074,126.323,-121.068
120.736,92.003,521.776,-177.974,126.189,-121.009
117.135,95.472,521.790,-177.874,126.055,-120.951

150.665,6.213,522.924,-1.231,143.371,84.438
151.549,1.292,522.960,-2.322,143.390,83.533
152.433,-3.629,522.996,-3.414,143.399,82.628
153.317,-8.550,523.032,-4.507,143.397,81.723
154.201,-13.471,523.068,-5.599,143.386,80.818
155.085,-18.392,523.104,-6.690,143.364,79.914
155.970,-23.313,523.140,-7.780,143.331,79.012
156.854,-28.234,523.176,-8.868,143.289,78.111
157.738,-33.155,523.212,-9.953,143.236,77.213
158.622,-38.076,523.248,-11.036,143.173,76.318
159.506,-42.998,523.284,-12.115,143.101,75.427
160.390,-47.919,523.320,-13.189,143.018,74.539
161.274,-52.840,523.356,-14.260,142.925,73.656
162.158,-57.761,523.392,-15.326,142.822,72.778
163.042,-62.682,523.428,-16.386,142.709,71.906
163.926,-67.603,523.464,-17.440,142.587,71.039
164.810,-72.524,523.499,-18.489,142.455,70.179
165.694,-77.445,523.535,-19.530,142.313,69.326
166.578,-82.366,523.571,-20.565,142.162,68.480
167.462,-87.287,523.607,-21.592,142.002,67.641
168.347,-92.208,523.643,-22.612,141.833,66.810
169.231,-97.129,523.679,-23.624,141.654,65.987
170.115,-102.051,523.715,-24.627,141.467,65.173

-165.221,136.984,621.226,14.751,48.621,79.187
-164.517,132.273,622.746,15.103,47.664,78.386
-163.812,127.563,624.267,15.478,46.710,77.566
-163.108,122.852,625.787,15.879,45.760,76.723
-162.403,118.141,627.307,16.306,44.815,75.857
-161.698,113.430,628.827,16.761,43.874,74.966
-160.994,108.719,630.347,17.245,42.939,74.048
-160.289,104.008,631.867,17.760,42.009,73.102
-159.585,99.297,633.388,18.308,41.085,72.127
-158.880,94.586,634.908,18.891,40.168,71.119
-158.176,89.875,636.428,19.510,39.257,70.077
-157.471,85.164,637.948,20.168,38.354,68.998
-156.766,80.453,639.468,20.867,37.459,67.880
-156.062,75.743,640.988,21.611,36.573,66.721
-155.666,70.984,642.466,22.147,35.871,66.203
-155.327,66.217,643.935,22.656,35.203,65.791
-154.988,61.450,645.404,23.182,34.538,65.361
-154.649,56.682,646.874,23.726,33.874,64.913

137.257,90.897,644.883,0.453,104.094,-17.929
140.531,87.689,642.886,0.453,104.094,-17.162
143.805,84.480,640.890,0.453,104.094,-16.396
147.079,81.271,638.893,0.452,104.094,-15.630
150.353,78.063,636.897,0.452,104.094,-14.864
153.627,74.854,634.900,0.452,104.095,-14.097
156.901,71.645,632.903,0.452,104.095,-13.331
160.174,68.437,630.907,0.451,104.095,-12.565
163.448,65.228,628.910,0.451,104.095,-11.799
166.808,61.946,627.250,0.055,103.645,-11.061
170.290,58.558,626.065,-0.906,102.565,-10.355
173.772,55.171,624.880,-1.877,101.497,-9.632
177.254,51.784,623.695,-2.858,100.442,-8.894
180.735,48.397,622.510,-3.850,99.399,-8.140
184.217,45.010,621.325,-4.853,98.369,-7.370
187.699,41.622,620.140,-5.867,97.353,-6.583
191.181,38.235,618.955,-6.893,96.351,-5.781
